Index,Lot,Time,pH,Temp,Current,Voltage
1,1,오후 4:22:51.0,2.3,24.62,3.7,3.54
2,1,오후 4:22:56.0,2.16,27.32,3.94,4.54
3,1,오후 4:23:01.0,2.55,21.79,3.69,4.65
4,1,오후 4:23:06.0,2.8,26.07,4.37,4.06
5,1,오후 4:23:11.0,1.84,23.84,4.0,3.65
6,1,오후 4:23:16.0,2.58,25.13,4.39,4.95
7,1,오후 4:23:21.0,2.85,26.27,4.37,4.02
8,1,오후 4:23:26.0,2.75,25.82,3.78,4.12
9,1,오후 4:23:31.0,2.33,26.46,3.73,3.89
10,1,오후 4:23:36.0,2.99,24.41,3.77,3.35
11,1,오후 4:23:41.0,2.79,21.63,4.2,3.32
12,1,오후 4:23:46.0,2.56,22.79,3.32,3.13
13,1,오후 4:23:51.0,2.65,24.26,3.1,4.0
14,1,오후 4:23:56.0,1.7,26.44,3.65,4.01
15,1,오후 4:24:01.0,1.52,24.24,3.29,3.85
16,1,오후 4:24:06.1,2.33,22.99,4.39,4.41
17,1,오후 4:24:11.1,1.89,22.69,4.08,4.2
18,1,오후 4:24:16.1,2.78,23.09,3.81,3.17
19,1,오후 4:24:21.1,2.97,21.6,4.48,3.19
20,1,오후 4:24:26.1,1.81,26.16,4.36,4.62
21,1,오후 4:24:31.1,2.1,22.48,4.09,3.82
22,1,오후 4:24:36.1,2.79,21.57,3.55,3.24
23,1,오후 4:24:41.1,2.19,24.22,4.38,4.39
24,1,오후 4:24:46.1,2.57,25.11,4.36,4.35
25,1,오후 4:24:51.1,2.98,23.29,4.26,3.23
26,1,오후 4:24:56.1,2.99,27.42,4.45,4.65
27,1,오후 4:25:01.1,1.53,26.08,3.59,4.39
28,1,오후 4:25:06.1,2.2,25.05,4.31,3.98
29,1,오후 4:25:11.1,1.65,27.32,3.93,4.24
30,1,오후 4:25:16.1,2.17,24.34,3.35,3.98
31,1,오후 4:25:21.1,1.53,26.98,3.15,3.61
32,1,오후 4:25:26.1,2.86,23.5,3.03,3.7
33,1,오후 4:25:31.1,2.66,25.96,3.98,3.45
34,1,오후 4:25:36.1,2.49,23.25,4.28,4.59
35,1,오후 4:25:41.1,1.73,22.17,3.42,4.82
36,1,오후 4:25:46.2,1.67,23.4,4.42,4.48
37,1,오후 4:25:51.2,1.64,23.87,4.2,3.08
38,1,오후 4:25:56.2,2.05,22.43,4.28,3.13
39,1,오후 4:26:01.2,1.62,25.88,4.1,3.02
40,1,오후 4:26:06.2,1.84,21.08,4.37,4.39
41,1,오후 4:26:11.2,1.95,27.86,4.35,4.33
42,1,오후 4:26:16.2,1.94,22.53,3.51,3.22
43,1,오후 4:26:21.2,2.89,25.69,3.12,4.92
44,1,오후 4:26:26.2,2.46,21.4,3.11,3.88
45,1,오후 4:26:31.2,1.94,24.04,3.78,4.01
46,1,오후 4:26:36.2,1.78,24.97,4.42,4.54
47,1,오후 4:26:41.2,2.73,25.84,3.69,4.76
48,1,오후 4:26:46.2,2.71,22.7,4.11,4.6
49,1,오후 4:26:51.2,2.2,21.73,3.79,3.81
50,1,오후 4:26:56.2,1.65,25.83,4.49,3.09
51,1,오후 4:27:01.2,2.54,22.09,3.14,3.81
52,1,오후 4:27:06.2,1.9,24.3,3.68,4.27
53,1,오후 4:27:11.3,2.59,25.28,3.66,4.3
54,1,오후 4:27:16.3,2.73,23.69,3.7,3.89
55,1,오후 4:27:21.3,2.89,24.96,4.19,4.04
56,1,오후 4:27:26.3,1.75,25.86,3.67,3.18
57,1,오후 4:27:31.3,2.14,23.99,3.27,4.64
58,1,오후 4:27:36.3,2.78,24.22,3.71,3.58
59,1,오후 4:27:41.3,2.82,26.13,3.11,4.04
60,1,오후 4:27:46.3,2.2,24.83,3.66,3.64
61,1,오후 4:27:51.3,2.85,27.69,3.75,4.57
62,1,오후 4:27:56.3,2.71,25.85,3.12,4.27
63,1,오후 4:28:01.3,2.2,23.85,4.33,4.38
64,1,오후 4:28:06.3,2.71,27.25,4.22,4.7
65,1,오후 4:28:11.3,2.22,26.61,3.21,4.97
66,1,오후 4:28:16.3,2.79,24.8,3.27,4.65
67,1,오후 4:28:21.3,1.53,26.71,4.07,4.93
68,1,오후 4:28:26.3,2.92,26.74,3.11,4.69
69,1,오후 4:28:31.3,2.69,23.75,3.58,4.57
70,2,오후 4:28:57.3,1.86,23.4,4.01,4.48
71,2,오후 4:29:02.3,1.57,25.73,3.78,3.57
72,2,오후 4:29:07.3,1.99,22.52,3.91,3.55
73,2,오후 4:29:12.3,2.9,27.63,4.21,3.3
74,2,오후 4:29:17.3,2.69,23.07,4.24,4.76
75,2,오후 4:29:22.3,2.33,25.77,3.42,4.48
76,2,오후 4:29:27.3,2.06,27.68,3.79,3.4
77,2,오후 4:29:32.3,2.71,25.05,3.15,3.43
78,2,오후 4:29:37.3,2.99,24.22,3.85,3.74
79,2,오후 4:29:42.3,2.97,23.91,3.63,4.51
80,2,오후 4:29:47.3,2.56,25.47,3.28,3.85
81,2,오후 4:29:52.3,1.55,25.54,3.97,4.47
82,2,오후 4:29:57.3,1.59,22.14,3.43,4.81
83,2,오후 4:30:02.3,2.78,26.4,4.13,3.24
84,2,오후 4:30:07.3,2.13,25.76,3.3,3.91
85,2,오후 4:30:12.3,2.41,22.09,4.27,4.62
86,2,오후 4:30:17.3,2.66,21.35,3.74,3.56
87,2,오후 4:30:22.3,2.92,22.5,3.13,3.59
88,2,오후 4:30:27.4,2.12,24.42,3.89,3.5
89,2,오후 4:30:32.4,1.92,24.55,3.81,3.14
90,2,오후 4:30:37.4,2.18,27.8,3.95,4.11
91,2,오후 4:30:42.4,1.78,25.86,3.09,4.88
92,2,오후 4:30:47.4,2.62,25.66,3.57,3.65
93,2,오후 4:30:52.4,2.36,25.89,4.34,3.98
94,2,오후 4:30:57.4,2.38,23.42,4.24,4.78
95,2,오후 4:31:02.4,1.84,24.25,4.07,3.16
96,2,오후 4:31:07.4,2.43,26.1,3.92,4.43
97,2,오후 4:31:12.4,2.8,23.29,3.03,3.02
98,2,오후 4:31:17.4,1.55,24.92,3.06,4.13
99,2,오후 4:31:22.4,2.31,22.7,4.47,3.48
100,2,오후 4:31:27.4,2.97,24.83,4.47,3.16
101,2,오후 4:31:32.4,2.66,21.36,3.25,3.31
102,2,오후 4:31:37.4,2.49,25.97,3.76,3.58
103,2,오후 4:31:42.4,1.84,26.97,3.42,4.35
104,2,오후 4:31:47.4,2.65,24.24,4.45,4.07
105,2,오후 4:31:52.4,1.94,24.47,3.33,3.69
106,2,오후 4:31:57.4,2.34,21.62,4.31,4.39
107,2,오후 4:32:02.4,2.55,23.1,3.65,4.19
108,2,오후 4:32:07.4,1.99,24.71,3.1,4.62
109,2,오후 4:32:12.4,2.15,22.12,4.13,4.72
110,2,오후 4:32:17.5,2.13,26.74,3.28,3.66
111,2,오후 4:32:22.5,1.87,24.22,3.46,4.82
112,2,오후 4:32:27.5,1.74,21.86,4.44,3.44
113,2,오후 4:32:32.5,2.04,22.6,4.29,3.38
114,2,오후 4:32:37.5,2.21,21.2,3.3,4.61
115,2,오후 4:32:42.5,2.83,24.56,4.49,3.57
116,2,오후 4:32:47.5,2.37,23.75,3.73,4.66
117,2,오후 4:32:52.5,2.83,27.92,4.33,3.21
118,2,오후 4:32:57.5,2.71,25.42,3.34,4.28
119,2,오후 4:33:02.5,1.83,26.57,3.59,3.55
120,2,오후 4:33:07.5,1.51,25.16,3.29,4.75
121,2,오후 4:33:12.5,2.09,22.59,4.28,3.16
122,2,오후 4:33:17.5,2.03,26.77,3.7,3.31
123,2,오후 4:33:22.5,2.93,21.37,3.26,3.66
124,2,오후 4:33:27.5,1.87,24.22,3.08,3.64
125,2,오후 4:33:32.5,2.17,23.52,3.48,3.45
126,2,오후 4:33:37.5,2.09,23.38,4.11,3.46
127,2,오후 4:33:42.5,2.96,25.27,3.14,4.32
128,2,오후 4:33:47.5,2.99,21.66,3.55,3.07
129,2,오후 4:33:52.5,2.35,21.3,4.32,3.54
130,2,오후 4:33:57.5,1.94,21.89,3.85,3.47
131,2,오후 4:34:02.5,1.58,25.33,3.99,3.46
132,2,오후 4:34:07.6,1.79,27.08,3.49,4.13
133,2,오후 4:34:12.6,2.39,25.87,3.15,4.16
134,2,오후 4:34:17.6,1.7,25.74,4.19,4.74
135,2,오후 4:34:22.6,1.77,22.28,4.31,3.63
136,2,오후 4:34:27.6,2.49,21.56,3.78,3.38
137,2,오후 4:34:32.6,1.53,21.01,3.44,4.41
138,2,오후 4:34:37.6,1.77,23.66,3.93,4.02
139,3,오후 4:35:03.6,1.78,24.51,4.08,3.17
140,3,오후 4:35:08.6,2.18,21.6,4.37,3.28
141,3,오후 4:35:13.6,1.72,24.84,3.37,3.85
142,3,오후 4:35:18.6,2.85,23.26,3.5,3.17
143,3,오후 4:35:23.6,1.72,27.89,4.3,4.16
144,3,오후 4:35:28.6,2.65,25.27,4.15,4.41
145,3,오후 4:35:33.6,2.19,27.9,3.4,4.07
146,3,오후 4:35:38.7,1.97,26.33,4.08,3.96
147,3,오후 4:35:43.7,1.58,21.44,3.21,4.13
148,3,오후 4:35:48.7,2.62,22.21,3.39,4.58
149,3,오후 4:35:53.7,2.08,25.53,3.38,4.31
150,3,오후 4:35:58.7,1.99,26.08,3.21,4.0
151,3,오후 4:36:03.7,2.35,21.32,3.74,3.56
152,3,오후 4:36:08.7,2.25,27.05,3.77,3.5
153,3,오후 4:36:13.7,2.63,21.67,3.08,3.45
154,3,오후 4:36:18.7,1.77,25.64,3.3,4.13
155,3,오후 4:36:23.7,1.75,26.68,3.46,3.11
156,3,오후 4:36:28.7,2.1,23.17,3.43,4.52
157,3,오후 4:36:33.7,4.12,25.23,3.35,3.95
158,3,오후 4:36:38.7,1.71,25.22,3.45,4.38
159,3,오후 4:36:43.7,2.41,27.21,3.34,3.88
160,3,오후 4:36:48.7,2.16,24.65,4.1,3.35
161,3,오후 4:36:53.7,1.87,24.92,3.82,4.21
162,3,오후 4:36:58.7,1.97,24.38,3.62,4.58
163,3,오후 4:37:03.7,2.92,24.49,3.9,3.12
164,3,오후 4:37:08.7,2.53,23.97,3.47,3.88
165,3,오후 4:37:13.7,1.52,21.55,3.74,3.67
166,3,오후 4:37:18.7,2.9,27.75,4.04,3.82
167,3,오후 4:37:23.7,2.99,25.71,4.24,4.41
168,3,오후 4:37:28.8,2.41,25.8,4.33,4.96
169,3,오후 4:37:33.8,2.99,22.73,3.44,3.14
170,3,오후 4:37:38.8,1.96,25.79,3.36,4.88
171,3,오후 4:37:43.8,2.82,21.79,3.86,3.54
172,3,오후 4:37:48.8,1.87,23.65,2.33,3.01
173,3,오후 4:37:53.8,1.88,21.58,3.14,3.73
174,3,오후 4:37:58.8,2.33,27.11,4.18,4.47
175,3,오후 4:38:03.8,2.2,25.32,3.87,3.7
176,3,오후 4:38:08.8,1.76,26.86,3.67,3.47
177,3,오후 4:38:13.8,2.25,22.53,3.18,4.32
178,3,오후 4:38:18.8,1.99,22.48,4.47,4.89
179,3,오후 4:38:23.8,2.81,22.86,3.62,4.52
180,3,오후 4:38:28.8,2.96,25.9,4.02,3.87
181,3,오후 4:38:33.8,2.06,24.02,3.07,4.78
182,3,오후 4:38:38.8,2.37,25.3,3.47,4.19
183,3,오후 4:38:43.8,2.0,24.82,3.66,3.69
184,3,오후 4:38:48.8,1.53,26.85,3.28,3.37
185,3,오후 4:38:53.8,2.78,21.4,3.72,3.25
186,3,오후 4:38:58.9,2.98,23.91,3.56,4.97
187,3,오후 4:39:03.9,2.04,22.86,3.79,3.81
188,3,오후 4:39:08.9,1.75,27.29,3.38,3.46
189,3,오후 4:39:13.9,2.87,26.39,3.49,3.89
190,3,오후 4:39:18.9,2.81,27.38,3.13,4.47
191,3,오후 4:39:23.9,2.9,27.2,3.88,3.84
192,3,오후 4:39:28.9,2.87,23.75,4.17,3.03
193,3,오후 4:39:33.9,1.57,22.86,3.8,3.3
194,3,오후 4:39:38.9,2.06,24.14,3.92,3.05
195,3,오후 4:39:43.9,2.83,24.31,4.16,4.99
196,3,오후 4:39:48.9,1.64,24.93,3.94,3.66
197,3,오후 4:39:53.9,2.08,23.43,3.95,4.65
198,3,오후 4:39:58.9,2.81,25.2,4.15,3.12
199,3,오후 4:40:03.9,1.51,26.96,3.96,3.72
200,3,오후 4:40:08.9,2.86,22.48,4.07,4.32
201,3,오후 4:40:13.9,1.89,26.55,3.39,4.06
202,3,오후 4:40:18.9,2.21,27.15,3.76,3.88
203,3,오후 4:40:23.9,1.98,27.53,3.66,3.62
204,3,오후 4:40:28.9,2.05,22.05,4.43,3.1
205,3,오후 4:40:33.9,2.92,23.07,4.27,3.62
206,3,오후 4:40:38.9,2.35,23.68,3.4,4.73
207,3,오후 4:40:43.9,1.55,23.15,4.49,3.98
208,4,오후 4:41:10.6,2.41,23.23,3.03,4.04
209,4,오후 4:41:15.6,2.53,21.04,3.02,3.8
210,4,오후 4:41:20.6,1.97,27.82,3.31,4.75
211,4,오후 4:41:25.6,2.78,26.12,3.6,3.24
212,4,오후 4:41:30.7,2.12,22.36,4.12,3.22
213,4,오후 4:41:35.7,1.58,21.02,2.41,1.86
214,4,오후 4:41:40.7,2.71,25.51,3.76,4.28
215,4,오후 4:41:45.7,2.18,23.27,3.54,4.28
216,4,오후 4:41:50.7,2.09,24.88,3.77,4.71
217,4,오후 4:41:55.7,2.08,25.24,4.07,3.75
218,4,오후 4:42:00.7,2.06,24.26,3.18,3.2
219,4,오후 4:42:05.7,2.51,26.46,3.2,4.07
220,4,오후 4:42:10.7,1.63,23.74,4.29,3.97
221,4,오후 4:42:15.7,2.27,25.9,4.19,3.06
222,4,오후 4:42:20.7,2.87,22.22,3.49,3.21
223,4,오후 4:42:25.7,1.6,26.47,3.11,3.13
224,4,오후 4:42:30.7,1.51,27.27,4.17,4.26
225,4,오후 4:42:35.7,2.16,21.33,3.74,3.27
226,4,오후 4:42:40.7,2.24,24.51,4.24,4.34
227,4,오후 4:42:45.7,1.75,25.01,4.05,3.68
228,4,오후 4:42:50.7,2.92,27.35,3.74,4.91
229,4,오후 4:42:55.7,2.54,22.58,3.84,4.83
230,4,오후 4:43:00.8,2.94,21.23,3.72,4.56
231,4,오후 4:43:05.8,2.6,25.36,3.22,3.22
232,4,오후 4:43:10.8,2.1,24.13,3.64,3.51
233,4,오후 4:43:15.8,2.25,25.94,4.09,3.06
234,4,오후 4:43:20.8,2.26,26.83,3.68,4.49
235,4,오후 4:43:25.8,1.56,25.04,4.13,3.88
236,4,오후 4:43:30.8,1.68,21.62,3.03,4.43
237,4,오후 4:43:35.8,1.86,26.33,4.17,3.85
238,4,오후 4:43:40.8,2.59,23.07,3.84,3.1
239,4,오후 4:43:45.8,1.93,22.22,4.37,3.43
240,4,오후 4:43:50.8,1.58,27.27,3.8,3.62
241,4,오후 4:43:55.8,2.5,26.49,4.11,3.36
242,4,오후 4:44:00.8,2.35,25.42,4.05,3.9
243,4,오후 4:44:05.8,1.57,24.62,3.93,3.38
244,4,오후 4:44:10.8,2.04,25.15,3.93,3.02
245,4,오후 4:44:15.8,2.14,27.0,4.35,3.02
246,4,오후 4:44:20.8,1.54,23.28,4.25,4.07
247,4,오후 4:44:25.9,2.49,25.77,3.39,4.26
248,4,오후 4:44:30.9,1.98,27.54,3.46,4.5
249,4,오후 4:44:35.9,2.82,27.09,3.31,3.76
250,4,오후 4:44:40.9,2.95,24.04,4.11,3.43
251,4,오후 4:44:45.9,2.76,25.29,4.38,3.21
252,4,오후 4:44:50.9,1.72,25.31,4.14,3.04
253,4,오후 4:44:55.9,2.64,26.03,4.1,4.42
254,4,오후 4:45:00.9,1.92,27.79,3.05,4.96
255,4,오후 4:45:05.9,2.3,27.77,3.3,4.02
256,4,오후 4:45:10.9,2.13,23.85,3.73,4.92
257,4,오후 4:45:15.9,2.98,25.85,4.24,3.27
258,4,오후 4:45:20.9,1.56,24.37,4.37,3.77
259,4,오후 4:45:25.9,2.36,22.61,4.32,3.71
260,4,오후 4:45:30.9,2.92,22.01,3.73,4.29
261,4,오후 4:45:35.9,2.89,27.25,3.37,4.32
262,4,오후 4:45:40.9,1.75,23.14,3.95,3.73
263,4,오후 4:45:45.9,1.77,27.64,3.98,4.75
264,4,오후 4:45:50.9,1.58,25.97,4.31,4.34
265,4,오후 4:45:55.9,1.56,26.24,3.14,4.11
266,4,오후 4:46:01.0,1.85,27.82,3.76,3.21
267,4,오후 4:46:06.0,1.89,22.01,4.08,4.47
268,4,오후 4:46:11.0,1.59,25.9,4.49,4.55
269,4,오후 4:46:16.0,2.17,23.35,4.17,4.42
270,4,오후 4:46:21.0,1.71,24.51,3.59,4.43
271,4,오후 4:46:26.0,2.5,27.53,3.82,4.29
272,4,오후 4:46:31.0,2.58,23.34,3.5,4.9
273,4,오후 4:46:36.0,2.44,24.35,3.28,3.34
274,4,오후 4:46:41.0,1.68,24.6,3.89,4.65
275,4,오후 4:46:46.0,2.95,24.26,4.34,4.85
276,4,오후 4:46:51.0,1.6,23.1,3.88,3.89
277,5,오후 4:47:17.3,2.53,26.23,3.17,3.44
278,5,오후 4:47:22.3,2.87,23.03,3.74,3.72
279,5,오후 4:47:27.3,1.56,21.63,3.07,4.75
280,5,오후 4:47:32.3,2.58,21.96,3.06,3.58
281,5,오후 4:47:37.3,1.61,23.51,4.38,3.87
282,5,오후 4:47:42.3,2.2,25.92,3.52,4.65
283,5,오후 4:47:47.3,2.86,27.63,3.76,4.49
284,5,오후 4:47:52.3,2.33,24.65,4.02,4.83
285,5,오후 4:47:57.3,2.9,25.83,4.22,3.18
286,5,오후 4:48:02.3,2.45,22.71,3.49,3.68
287,5,오후 4:48:07.3,2.3,22.62,3.51,3.09
288,5,오후 4:48:12.3,2.12,23.14,3.73,4.33
289,5,오후 4:48:17.3,2.16,21.42,3.98,3.17
290,5,오후 4:48:22.4,2.2,23.8,3.93,4.46
291,5,오후 4:48:27.4,1.96,23.29,3.59,4.67
292,5,오후 4:48:32.4,1.76,22.62,3.4,3.7
293,5,오후 4:48:37.4,2.08,23.85,4.13,3.41
294,5,오후 4:48:42.4,2.74,23.66,3.35,3.95
295,5,오후 4:48:47.4,2.29,21.22,3.97,4.81
296,5,오후 4:48:52.4,2.43,24.0,4.16,4.11
297,5,오후 4:48:57.4,2.0,24.63,3.19,3.58
298,5,오후 4:49:02.4,1.58,23.35,3.39,3.45
299,5,오후 4:49:07.4,2.45,23.66,3.4,4.37
300,5,오후 4:49:12.4,2.82,22.2,3.59,4.48
301,5,오후 4:49:17.4,1.73,25.34,3.73,4.51
302,5,오후 4:49:22.4,2.26,23.76,3.16,3.52
303,5,오후 4:49:27.4,1.97,26.3,3.12,4.49
304,5,오후 4:49:32.4,2.61,25.93,3.47,3.23
305,5,오후 4:49:37.4,2.51,21.66,3.75,4.55
306,5,오후 4:49:42.4,1.99,21.37,3.9,4.51
307,5,오후 4:49:47.4,2.67,26.71,4.4,3.39
308,5,오후 4:49:52.4,1.94,24.06,4.47,4.12
309,5,오후 4:49:57.4,2.28,25.99,3.65,4.79
310,5,오후 4:50:02.4,2.41,23.39,3.58,4.27
311,5,오후 4:50:07.4,2.02,21.48,3.47,4.39
312,5,오후 4:50:12.5,2.73,23.21,3.43,3.02
313,5,오후 4:50:17.5,2.02,26.98,3.81,3.26
314,5,오후 4:50:22.5,2.01,22.41,3.42,3.95
315,5,오후 4:50:27.5,2.5,26.54,3.9,4.2
316,5,오후 4:50:32.5,1.54,21.29,4.31,3.43
317,5,오후 4:50:37.5,2.2,26.97,3.73,4.38
318,5,오후 4:50:42.5,1.52,26.0,3.48,4.43
319,5,오후 4:50:47.5,2.43,21.42,3.25,3.32
320,5,오후 4:50:52.5,2.48,25.49,3.22,4.36
321,5,오후 4:50:57.5,2.22,27.51,3.94,3.69
322,5,오후 4:51:02.5,2.68,21.81,3.19,3.68
323,5,오후 4:51:07.5,2.01,26.93,3.9,4.24
324,5,오후 4:51:12.5,2.71,24.76,3.92,4.61
325,5,오후 4:51:17.5,1.85,22.33,2.26,3.89
326,5,오후 4:51:22.5,1.6,24.0,4.45,3.7
327,5,오후 4:51:27.5,2.06,25.85,3.21,4.47
328,5,오후 4:51:32.5,1.8,21.22,3.87,4.16
329,5,오후 4:51:37.5,2.37,27.42,3.12,3.32
330,5,오후 4:51:42.5,2.69,21.33,3.4,4.13
331,5,오후 4:51:47.6,2.35,27.62,3.72,3.9
332,5,오후 4:51:52.6,2.69,25.58,4.34,4.15
333,5,오후 4:51:57.6,2.67,23.29,3.29,3.14
334,5,오후 4:52:02.6,2.08,21.59,4.13,3.41
335,5,오후 4:52:07.6,2.3,22.42,4.33,4.55
336,5,오후 4:52:12.6,2.9,23.73,3.7,4.43
337,5,오후 4:52:17.6,2.79,22.27,4.42,3.5
338,5,오후 4:52:22.6,2.54,27.42,3.58,4.61
339,5,오후 4:52:27.6,1.98,25.1,3.41,3.28
